Name,Language,Link
bosh,C,http://bosh.sourceforge.net/
cdargs,C++,http://www.skamphausen.de/cgi-bin/ska/CDargs
choose,Python,https://github.com/geier/choose
choose,Python,https://github.com/vain/bin-pub/blob/master/choose
dmenu2,C,https://bitbucket.org/melek/dmenu2
dmenu,C,http://tools.suckless.org/dmenu/
extendp,C,https://github.com/jkarni/extendp
fzf,Ruby,https://github.com/junegunn/fzf
gof,Go,https://github.com/mattn/gof
hstr,C,https://github.com/dvorka/hstr
iselect,Python,http://www.ossp.org/pkg/tool/iselect/
kcd,C++,http://kcd.sourceforge.net/
pdmenu,C,http://joeyh.name/code/pdmenu/
peco,Go,https://github.com/peco/peco
percol,Python,https://github.com/mooz/percol
rofi,C,https://davedavenport.github.io/rofi/
selecta,Ruby,https://github.com/garybernhardt/selecta
slmenu,C,https://bitbucket.org/rafaelgg/slmenu
tmenu,C,https://github.com/dhamidi/tmenu
tpick,C,https://github.com/smblott-github/tpick
